,Date,Difference
153,2018-10-05,-4.530910772764997
154,2018-10-08,1.2949777291500197
155,2018-10-09,-0.8741031455150221
156,2018-10-10,0.8973680942560236
157,2018-10-11,-3.1162876637710326
158,2018-10-12,4.015701508645009
159,2018-10-15,1.474972500000007
160,2018-10-16,0.19737775000001534
161,2018-10-17,-0.5757202047300041
162,2018-10-19,-3.37475447464999
163,2018-10-22,0.5252774293799973
164,2018-10-23,-2.0808204401049863
165,2018-10-24,2.261888190104969
166,2018-10-25,-1.3636461101129953
167,2018-10-26,-1.2960546398869894
168,2018-10-29,3.200658403074982
169,2018-10-30,-1.5943054897759907
170,2018-10-31,2.443186577703017
171,2018-11-01,-0.8827914083070141
172,2018-11-02,3.807014917304997
173,2018-11-05,0.39371099999999615
174,2018-11-06,0.1770659999999964
